catalog_ra_deg,catalog_dec_deg,catalog_flux_mjy,dsa_ra_deg,dsa_dec_deg,peak_flux_jy_beam,local_rms_jy_beam,snr,dra_cosdec_arcsec,ddec_arcsec,separation_arcsec
337.0414,17.605573,77.917,337.0410849468042,17.605678866977392,0.07393136620521545,0.006173301373701542,12.810341727910645,-1.0810667618219534,0.3811220176119258,1.1462806531669236
337.012138,16.086852,66.05,337.01208266584655,16.086853604295055,0.049478258937597275,0.0039577543760184195,12.735648757082664,-0.19140271420758387,0.005775487817508646,0.19148983071056339
336.999822,16.711308,79.751,336.9995617213434,16.71205106708398,0.05171505734324455,0.004304677133029327,12.490342627338498,-0.8974260550747852,2.6750420884769275,2.8215640519843057
336.960145,17.635648,636.541,336.9595946950483,17.636422490335818,0.5835701823234558,0.017511296951025723,33.51225991293513,-1.8879827833926475,2.7881679558242216,3.3672480663402373
336.948988,17.348744,81.404,336.94834615145,17.349190652082175,0.06297957897186279,0.006534878336638212,10.11090436336037,-2.205531863774611,1.6079511795077255,2.729446426989435
336.538479,16.523075,54.638,336.54119580790405,16.525531992252738,0.022888988256454468,0.004591259509138763,5.708457253387813,9.376505758298542,8.845235333445233,12.890191943467471
336.516999,16.154802,81.384,336.5163270765224,16.15557772739449,0.0511959046125412,0.00182292632907629,28.772713619477944,-2.3234004719447157,2.792622410709039,3.63275786171158
336.50867,17.384185,173.764,336.50721889173406,17.390274684590484,0.06837067008018494,0.007345600566733628,9.388690474428621,-4.98520682209865,21.922883387339354,22.482551080203926
335.600804,16.078468,52.0,335.6003147432907,16.07878089037716,0.03527834638953209,0.0028310476375976576,13.635097915075473,-1.6924243052847663,1.1264073590277284,2.0330011233618257
337.553342,14.749995,234.897,337.5527389739392,14.750129573886714,0.20276746153831482,0.004200895378366112,48.19199762182665,-2.0993528014143417,0.4844688049093255,2.1545283028395135
337.446267,14.561333,213.773,337.4476383252473,14.560922241877279,0.11100105196237564,0.007636166835017502,15.174330899656477,4.77820608288187,-1.4787148655222422,5.001784783855236
