catalog_ra_deg,catalog_dec_deg,catalog_flux_mjy,dsa_ra_deg,dsa_dec_deg,peak_flux_jy_beam,local_rms_jy_beam,snr,dra_cosdec_arcsec,ddec_arcsec,separation_arcsec
343.49041667,16.14816667,12656.8,343.4898612325584,16.148519116461927,16.189395904541016,0.23790183307528495,67.61944489109105,-1.9206795160516081,1.268809852179891,2.301931416087151
344.27920833,16.97358333,1342.2,344.2782089735993,16.97473527171271,1.19069242477417,0.025961691123247144,46.3119962464689,-3.4409448909545413,4.14699892617639,5.388664197766854
341.01025,16.54911111,880.7,341.01013058670287,16.548936460223224,0.8099839687347412,0.01604361740425229,50.949325139324124,-0.4120805412936707,-0.6287390740846288,0.7517467630749606
337.786,16.39238889,755.6,337.78550771045195,16.39140684820257,0.40229880809783936,0.013574069578573107,29.49102591266262,-1.7002119017477497,-3.5353484093852092,3.9229337091757275
342.98329167,17.29397222,664.5,342.987441065295,17.297188713149502,0.20647239685058594,0.038873205017298455,5.7420834801470955,14.2622658523718,11.579528862889232,18.371110906263002
352.14558333,17.25313889,652.7,352.145938071576,17.253222560399422,0.8024898171424866,0.012009217720292509,66.18499392742291,1.2196057067529398,0.30121455773998573,1.256251682481991
341.51016667,17.73166667,573.6,341.51171465005325,17.732800973193903,0.6977176070213318,0.03644792772307992,20.055390604594162,5.307952667153305,4.083513336025054,6.696972650551468
342.395625,17.06377778,544.7,342.39525870336416,17.063781392414807,0.5079055428504944,0.02293654826581478,23.019929041501218,-1.260618409968892,0.013005875736876164,1.2606854993836412
347.217375,17.48625,537.6,347.2170813255238,17.48642157802595,0.6799613833427429,0.014967990680783987,45.298628667810476,-1.008371687188288,0.617681669902966,1.1825160061737308
349.52041667,15.78708333,526.2,349.52027496229437,15.786989698190636,0.3949325382709503,0.007095997174177318,55.322062631855815,-0.49090486336287315,-0.3370743485374557,0.59548862400156
336.96029167,17.63575,441.6,336.9595946950483,17.636422490335818,0.5835701823234558,0.017511296951025723,33.51225991293513,-2.3911773011900315,2.420969615187931,3.4027669275737416
338.30070833,14.66777778,409.4,338.299898754065,14.667478353748065,0.24429383873939514,0.007147317272052168,34.70469036220262,-2.819495436780425,-1.077929463095539,3.018523885185452
